Area_Name,Year,Cases_Property_Stolen
Punjab,2002,614
Rajasthan,2002,1073
Sikkim,2002,4
Tamil Nadu,2002,827
Tripura,2002,60
Uttar Pradesh,2002,815
Uttarakhand,2002,0
West Bengal,2002,5016
Andaman & Nicobar Islands,2003,0
Andhra Pradesh,2003,195
Arunachal Pradesh,2003,28
Assam,2003,562
Bihar,2003,1341
Chandigarh,2003,89
Chhattisgarh,2003,260
Dadra & Nagar Haveli,2003,12
Daman & Diu,2003,8
Delhi,2003,2611
Goa,2003,77
Gujarat,2003,1426
Haryana,2003,606
Himachal Pradesh,2003,63
Jammu & Kashmir,2003,0
Jharkhand,2003,219
Karnataka,2003,715
Kerala,2003,235
Lakshadweep,2003,0
Madhya Pradesh,2003,855
Maharashtra,2003,2978
Manipur,2003,78
Meghalaya,2003,19
Mizoram,2003,228
Nagaland,2003,76
Odisha,2003,59
Puducherry,2003,2
Punjab,2003,1033
Rajasthan,2003,2300
Sikkim,2003,4
Tamil Nadu,2003,104
Tripura,2003,25
Uttar Pradesh,2003,352
Uttarakhand,2003,0
West Bengal,2003,1470
Andaman & Nicobar Islands,2004,0
Andhra Pradesh,2004,192
Arunachal Pradesh,2004,26
Assam,2004,714
Bihar,2004,1384
Chandigarh,2004,101
Chhattisgarh,2004,1261
Dadra & Nagar Haveli,2004,22
Daman & Diu,2004,6
Delhi,2004,3097
Goa,2004,52
Gujarat,2004,1239
Haryana,2004,722
Himachal Pradesh,2004,78
Jammu & Kashmir,2004,0
Jharkhand,2004,182
Karnataka,2004,524
Kerala,2004,273
Lakshadweep,2004,0
Madhya Pradesh,2004,862
Maharashtra,2004,3344
Manipur,2004,52
Meghalaya,2004,21
Mizoram,2004,0
Nagaland,2004,11
Odisha,2004,27
Puducherry,2004,2
Punjab,2004,596
Rajasthan,2004,1116
Sikkim,2004,22
Tamil Nadu,2004,76
Tripura,2004,61
Uttar Pradesh,2004,741
Uttarakhand,2004,0
West Bengal,2004,1495
Andaman & Nicobar Islands,2005,0
Andhra Pradesh,2005,192
Arunachal Pradesh,2005,19
Assam,2005,693
Bihar,2005,1319
Chandigarh,2005,147
Chhattisgarh,2005,223
Dadra & Nagar Haveli,2005,10
Daman & Diu,2005,3
Delhi,2005,3514
Goa,2005,38
Gujarat,2005,1214
Haryana,2005,556
Himachal Pradesh,2005,70
Jammu & Kashmir,2005,0
Jharkhand,2005,146
Karnataka,2005,347
Kerala,2005,894
Lakshadweep,2005,0
Madhya Pradesh,2005,646
Maharashtra,2005,4205
Manipur,2005,20
Meghalaya,2005,19
Mizoram,2005,32
Nagaland,2005,13
Odisha,2005,34
Puducherry,2005,2
Punjab,2005,430
Rajasthan,2005,678
Sikkim,2005,0
Tamil Nadu,2005,74
Tripura,2005,30
Uttar Pradesh,2005,398
Uttarakhand,2005,0
West Bengal,2005,1420
Andaman & Nicobar Islands,2006,0
Andhra Pradesh,2006,196
Arunachal Pradesh,2006,16
Assam,2006,528
Bihar,2006,831
Chandigarh,2006,131
Chhattisgarh,2006,190
Dadra & Nagar Haveli,2006,10
Daman & Diu,2006,3
Delhi,2006,3596
Goa,2006,37
Gujarat,2006,1193
Haryana,2006,669
Himachal Pradesh,2006,54
Jammu & Kashmir,2006,0
Jharkhand,2006,426
Karnataka,2006,367
Kerala,2006,606
Lakshadweep,2006,0
Madhya Pradesh,2006,859
Maharashtra,2006,4189
Manipur,2006,151
Meghalaya,2006,10
Mizoram,2006,14
Nagaland,2006,6
Odisha,2006,93
Puducherry,2006,2
Punjab,2006,715
Rajasthan,2006,442
Sikkim,2006,0
Tamil Nadu,2006,160
Tripura,2006,212
Uttar Pradesh,2006,364
Uttarakhand,2006,0
West Bengal,2006,1466
Andaman & Nicobar Islands,2007,0
Andhra Pradesh,2007,254
Arunachal Pradesh,2007,11
Assam,2007,6004
Bihar,2007,658
Chandigarh,2007,193
Chhattisgarh,2007,142
Dadra & Nagar Haveli,2007,10
Daman & Diu,2007,6
Delhi,2007,3579
Goa,2007,36
Gujarat,2007,999
Haryana,2007,941
Himachal Pradesh,2007,75
Jammu & Kashmir,2007,418
Jharkhand,2007,188
Karnataka,2007,606
Kerala,2007,2665
Lakshadweep,2007,4
Madhya Pradesh,2007,798
Maharashtra,2007,4578
Manipur,2007,336
Meghalaya,2007,32
Mizoram,2007,102
Nagaland,2007,8
Odisha,2007,1203
Puducherry,2007,3
Punjab,2007,938
Rajasthan,2007,946
Sikkim,2007,0
Tamil Nadu,2007,102
Tripura,2007,20
Uttar Pradesh,2007,556
Uttarakhand,2007,0
West Bengal,2007,1889
Andaman & Nicobar Islands,2008,0
Andhra Pradesh,2008,663
Arunachal Pradesh,2008,45
Assam,2008,1177
Bihar,2008,1074
Chandigarh,2008,220
Chhattisgarh,2008,150
Dadra & Nagar Haveli,2008,24
Daman & Diu,2008,3
Delhi,2008,2870
Goa,2008,70
Gujarat,2008,887
Haryana,2008,986
Himachal Pradesh,2008,72
Jammu & Kashmir,2008,202
Jharkhand,2008,156
Karnataka,2008,503
Kerala,2008,2329
Lakshadweep,2008,0
Madhya Pradesh,2008,569
Maharashtra,2008,5195
Manipur,2008,356
Meghalaya,2008,275
Mizoram,2008,47
Nagaland,2008,5
Odisha,2008,90
Puducherry,2008,2
Punjab,2008,1110
Rajasthan,2008,182
Sikkim,2008,0
Tamil Nadu,2008,105
Tripura,2008,35
Uttar Pradesh,2008,264
Uttarakhand,2008,0
West Bengal,2008,2363
Andaman & Nicobar Islands,2009,0
Andhra Pradesh,2009,435
Arunachal Pradesh,2009,20
Assam,2009,763
Bihar,2009,1068
Chandigarh,2009,234
Chhattisgarh,2009,155
Dadra & Nagar Haveli,2009,20
Daman & Diu,2009,0
Delhi,2009,2345
Goa,2009,40
Gujarat,2009,806
Haryana,2009,1013
Himachal Pradesh,2009,92
Jammu & Kashmir,2009,176
Jharkhand,2009,247
Karnataka,2009,883
Kerala,2009,2365
Lakshadweep,2009,44
Madhya Pradesh,2009,768
Maharashtra,2009,5599
Manipur,2009,213
Meghalaya,2009,79
Mizoram,2009,35
Nagaland,2009,235
Odisha,2009,155
Puducherry,2009,2
Punjab,2009,1176
Rajasthan,2009,163
Sikkim,2009,0
Tamil Nadu,2009,111
Tripura,2009,45
Uttar Pradesh,2009,222
Uttarakhand,2009,0
West Bengal,2009,2263
Andaman & Nicobar Islands,2010,0
Andhra Pradesh,2010,840
Arunachal Pradesh,2010,32
Assam,2010,474
Bihar,2010,493
Chandigarh,2010,243
Chhattisgarh,2010,183
Dadra & Nagar Haveli,2010,18
Daman & Diu,2010,1
Delhi,2010,2624
Goa,2010,39
Gujarat,2010,720
Haryana,2010,1214
Himachal Pradesh,2010,45
Jammu & Kashmir,2010,6
Jharkhand,2010,428
Karnataka,2010,964
Kerala,2010,2590
Lakshadweep,2010,0
Madhya Pradesh,2010,539
Maharashtra,2010,6319
Manipur,2010,156
Meghalaya,2010,27
Mizoram,2010,89
Nagaland,2010,272
Odisha,2010,188
Puducherry,2010,0
Punjab,2010,1273
Rajasthan,2010,1568
Sikkim,2010,0
Tamil Nadu,2010,153
Tripura,2010,129
Uttar Pradesh,2010,467
Uttarakhand,2010,0
West Bengal,2010,1900
Andaman & Nicobar Islands,2001,4
Andhra Pradesh,2001,622
Arunachal Pradesh,2001,84
Assam,2001,687
Bihar,2001,2201
Chandigarh,2001,22
Chhattisgarh,2001,338
Dadra & Nagar Haveli,2001,2
Daman & Diu,2001,0
Delhi,2001,624
Goa,2001,24
Gujarat,2001,953
Haryana,2001,391
Himachal Pradesh,2001,26
Jammu & Kashmir,2001,161
Jharkhand,2001,469
Karnataka,2001,847
Kerala,2001,472
Lakshadweep,2001,0
Madhya Pradesh,2001,1764
Maharashtra,2001,2175
Manipur,2001,19
Meghalaya,2001,125
Mizoram,2001,11
Nagaland,2001,71
Odisha,2001,950
Puducherry,2001,4
Punjab,2001,131
Rajasthan,2001,752
Sikkim,2001,2
Tamil Nadu,2001,670
Tripura,2001,63
Uttar Pradesh,2001,3090
Uttarakhand,2001,191
West Bengal,2001,660
Andaman & Nicobar Islands,2002,7
Andhra Pradesh,2002,635
Arunachal Pradesh,2002,96
Assam,2002,607
Bihar,2002,2287
Chandigarh,2002,26
Chhattisgarh,2002,326
Dadra & Nagar Haveli,2002,1
Daman & Diu,2002,1
Delhi,2002,502
Goa,2002,22
Gujarat,2002,1069
Haryana,2002,330
Himachal Pradesh,2002,15
Jammu & Kashmir,2002,163
Jharkhand,2002,780
Karnataka,2002,972
Kerala,2002,590
Lakshadweep,2002,0
Madhya Pradesh,2002,1829
Maharashtra,2002,2091
Manipur,2002,6
Meghalaya,2002,109
Mizoram,2002,7
Nagaland,2002,108
Odisha,2002,934
Puducherry,2002,6
Punjab,2002,110
Rajasthan,2002,637
Sikkim,2002,4
Tamil Nadu,2002,651
Tripura,2002,56
Uttar Pradesh,2002,2232
Uttarakhand,2002,161
West Bengal,2002,544
Andaman & Nicobar Islands,2003,7
Andhra Pradesh,2003,640
Arunachal Pradesh,2003,60
Assam,2003,523
Bihar,2003,2463
Chandigarh,2003,12
Chhattisgarh,2003,331
Dadra & Nagar Haveli,2003,6
Daman & Diu,2003,1
Delhi,2003,441
Goa,2003,21
Gujarat,2003,1241
Haryana,2003,281
Himachal Pradesh,2003,17
Jammu & Kashmir,2003,154
Jharkhand,2003,808
Karnataka,2003,861
Kerala,2003,574
Lakshadweep,2003,0
Madhya Pradesh,2003,1577
Maharashtra,2003,2054
Manipur,2003,6
Meghalaya,2003,133
Mizoram,2003,21
Nagaland,2003,78
Odisha,2003,864
Puducherry,2003,11
Punjab,2003,108
Rajasthan,2003,579
Sikkim,2003,3
Tamil Nadu,2003,514
Tripura,2003,69
Uttar Pradesh,2003,1526
Uttarakhand,2003,140
West Bengal,2003,598
Andaman & Nicobar Islands,2004,3
Andhra Pradesh,2004,563
Arunachal Pradesh,2004,45
Assam,2004,505
Bihar,2004,2986
Chandigarh,2004,6
Chhattisgarh,2004,363
Dadra & Nagar Haveli,2004,2
Daman & Diu,2004,1
Delhi,2004,461
Goa,2004,17
Gujarat,2004,1113
Haryana,2004,244
Himachal Pradesh,2004,20
Jammu & Kashmir,2004,129
Jharkhand,2004,780
Karnataka,2004,1024
Kerala,2004,606
Lakshadweep,2004,0
Madhya Pradesh,2004,1526
Maharashtra,2004,2162
Manipur,2004,3
Meghalaya,2004,73
Mizoram,2004,6
Nagaland,2004,27
Odisha,2004,952
Puducherry,2004,1
Punjab,2004,78
Rajasthan,2004,611
Sikkim,2004,5
Tamil Nadu,2004,464
Tripura,2004,46
Uttar Pradesh,2004,2022
Uttarakhand,2004,134
West Bengal,2004,535
Andaman & Nicobar Islands,2005,4
Andhra Pradesh,2005,784
Arunachal Pradesh,2005,77
Assam,2005,451
Bihar,2005,2374
Chandigarh,2005,12
Chhattisgarh,2005,401
Dadra & Nagar Haveli,2005,2
Daman & Diu,2005,0
Delhi,2005,510
Goa,2005,25
Gujarat,2005,935
Haryana,2005,374
Himachal Pradesh,2005,22
Jammu & Kashmir,2005,116
Jharkhand,2005,698
Karnataka,2005,1202
Kerala,2005,544
Lakshadweep,2005,0
Madhya Pradesh,2005,1557
Maharashtra,2005,2362
Manipur,2005,8
Meghalaya,2005,83
Mizoram,2005,6
Nagaland,2005,80
Odisha,2005,998
Puducherry,2005,5
Punjab,2005,85
Rajasthan,2005,548
Sikkim,2005,4
Tamil Nadu,2005,437
Tripura,2005,61
Uttar Pradesh,2005,1621
Uttarakhand,2005,138
West Bengal,2005,426
Andaman & Nicobar Islands,2006,5
Andhra Pradesh,2006,669
Arunachal Pradesh,2006,74
Assam,2006,544
Bihar,2006,2169
Chandigarh,2006,34
Chhattisgarh,2006,439
Dadra & Nagar Haveli,2006,5
Daman & Diu,2006,1
Delhi,2006,541
Goa,2006,16
Gujarat,2006,932
Haryana,2006,408
Himachal Pradesh,2006,29
Jammu & Kashmir,2006,112
Jharkhand,2006,772
Karnataka,2006,1349
Kerala,2006,605
Lakshadweep,2006,0
Madhya Pradesh,2006,1770
Maharashtra,2006,2540
Manipur,2006,8
Meghalaya,2006,65
Mizoram,2006,10
Nagaland,2006,82
Odisha,2006,1184
Puducherry,2006,3
Punjab,2006,142
Rajasthan,2006,581
Sikkim,2006,9
Tamil Nadu,2006,450
Tripura,2006,71
Uttar Pradesh,2006,1565
Uttarakhand,2006,113
West Bengal,2006,426
Andaman & Nicobar Islands,2007,9
Andhra Pradesh,2007,604
Arunachal Pradesh,2007,75
Assam,2007,496
Bihar,2007,1787
Chandigarh,2007,37
Chhattisgarh,2007,427
Dadra & Nagar Haveli,2007,3
Daman & Diu,2007,2
Delhi,2007,557
Goa,2007,22
Gujarat,2007,1057
Haryana,2007,502
Himachal Pradesh,2007,23
Jammu & Kashmir,2007,107
Jharkhand,2007,771
Karnataka,2007,1307
Kerala,2007,726
Lakshadweep,2007,0
Madhya Pradesh,2007,1975
Maharashtra,2007,2732
Manipur,2007,11
Meghalaya,2007,56
Mizoram,2007,4
Nagaland,2007,74
Odisha,2007,1273
Puducherry,2007,8
Punjab,2007,138
Rajasthan,2007,723
Sikkim,2007,6
Tamil Nadu,2007,495
Tripura,2007,64
Uttar Pradesh,2007,1417
Uttarakhand,2007,144
West Bengal,2007,427
Andaman & Nicobar Islands,2008,14
Andhra Pradesh,2008,599
Arunachal Pradesh,2008,79
Assam,2008,568
Bihar,2008,1592
Chandigarh,2008,23
Chhattisgarh,2008,500
Dadra & Nagar Haveli,2008,0
Daman & Diu,2008,4
Delhi,2008,541
Goa,2008,23
Gujarat,2008,1302
Haryana,2008,555
Himachal Pradesh,2008,20
Jammu & Kashmir,2008,60
Jharkhand,2008,761
Karnataka,2008,1610
Kerala,2008,725
Lakshadweep,2008,0
Madhya Pradesh,2008,2234
Maharashtra,2008,2984
Manipur,2008,7
Meghalaya,2008,63
Mizoram,2008,6
Nagaland,2008,87
Odisha,2008,1315
Puducherry,2008,10
Punjab,2008,167
Rajasthan,2008,777
Sikkim,2008,7
Tamil Nadu,2008,662
Tripura,2008,95
Uttar Pradesh,2008,1404
Uttarakhand,2008,115
West Bengal,2008,613
Andaman & Nicobar Islands,2009,11
Andhra Pradesh,2009,536
Arunachal Pradesh,2009,55
Assam,2009,680
Bihar,2009,1619
Chandigarh,2009,27
Chhattisgarh,2009,554
Dadra & Nagar Haveli,2009,2
Daman & Diu,2009,4
Delhi,2009,515
Goa,2009,29
Gujarat,2009,1412
Haryana,2009,679
Himachal Pradesh,2009,21
Jammu & Kashmir,2009,61
Jharkhand,2009,780
Karnataka,2009,1825
Kerala,2009,725
Lakshadweep,2009,0
Madhya Pradesh,2009,2270
Maharashtra,2009,3281
Manipur,2009,3
Meghalaya,2009,67
Mizoram,2009,4
Nagaland,2009,92
Odisha,2009,1488
Puducherry,2009,9
Punjab,2009,171
Rajasthan,2009,828
Sikkim,2009,4
Tamil Nadu,2009,1143
Tripura,2009,77
Uttar Pradesh,2009,1629
Uttarakhand,2009,151
West Bengal,2009,751
Andaman & Nicobar Islands,2010,7
Andhra Pradesh,2010,533
Arunachal Pradesh,2010,69
Assam,2010,662
Bihar,2010,1538
Chandigarh,2010,67
Chhattisgarh,2010,552
Dadra & Nagar Haveli,2010,3
Daman & Diu,2010,0
Delhi,2010,599
Goa,2010,36
Gujarat,2010,1367
Haryana,2010,734
Himachal Pradesh,2010,11
Jammu & Kashmir,2010,56
Jharkhand,2010,709
Karnataka,2010,1949
Kerala,2010,524
Lakshadweep,2010,0
Madhya Pradesh,2010,1918
Maharashtra,2010,3680
Manipur,2010,2
Meghalaya,2010,66
Mizoram,2010,16
Nagaland,2010,63
Odisha,2010,1491
Puducherry,2010,5
Punjab,2010,241
Rajasthan,2010,872
Sikkim,2010,7
Tamil Nadu,2010,1817
Tripura,2010,63
Uttar Pradesh,2010,2007
Uttarakhand,2010,152
West Bengal,2010,798
Andaman & Nicobar Islands,2001,65
Andhra Pradesh,2001,16435
Arunachal Pradesh,2001,443
Assam,2001,5367
Bihar,2001,9695
Chandigarh,2001,1529
Chhattisgarh,2001,4812
Dadra & Nagar Haveli,2001,45
Daman & Diu,2001,39
Delhi,2001,19276
Goa,2001,572
Gujarat,2001,15625
Haryana,2001,6115
Himachal Pradesh,2001,596
Jammu & Kashmir,2001,1919
Jharkhand,2001,3236
Karnataka,2001,12868
Kerala,2001,5365
Lakshadweep,2001,10
Madhya Pradesh,2001,20263
Maharashtra,2001,39667
Manipur,2001,217
Meghalaya,2001,271
Mizoram,2001,878
Nagaland,2001,163
Odisha,2001,5550
Puducherry,2001,528
Punjab,2001,3023
Rajasthan,2001,14685
Sikkim,2001,54
Tamil Nadu,2001,16707
Tripura,2001,259
Uttar Pradesh,2001,24064
Uttarakhand,2001,1419
West Bengal,2001,14245
Andaman & Nicobar Islands,2002,49
Andhra Pradesh,2002,19058
Arunachal Pradesh,2002,395
Assam,2002,5555
Bihar,2002,10145
Chandigarh,2002,1647
Chhattisgarh,2002,4302
Dadra & Nagar Haveli,2002,72
Daman & Diu,2002,56
Delhi,2002,16625
Goa,2002,493
Gujarat,2002,15616
Haryana,2002,5962
Himachal Pradesh,2002,560
Jammu & Kashmir,2002,2020
Jharkhand,2002,4374
Karnataka,2002,13818
Kerala,2002,5432
Lakshadweep,2002,12
Madhya Pradesh,2002,20759
Maharashtra,2002,37443
Manipur,2002,255
Meghalaya,2002,392
Mizoram,2002,999
Nagaland,2002,230
Odisha,2002,5144
Puducherry,2002,526
Punjab,2002,2963
Rajasthan,2002,14292
Sikkim,2002,64
Tamil Nadu,2002,18599
Tripura,2002,270
Uttar Pradesh,2002,19329
Uttarakhand,2002,1257
West Bengal,2002,12449
Andaman & Nicobar Islands,2003,60
Andhra Pradesh,2003,23042
Arunachal Pradesh,2003,370
Assam,2003,5525
Bihar,2003,10104
Chandigarh,2003,1238
Chhattisgarh,2003,4170
Dadra & Nagar Haveli,2003,61
Daman & Diu,2003,46
Delhi,2003,15544
Goa,2003,458
Gujarat,2003,19181
Haryana,2003,5589
Himachal Pradesh,2003,616
Jammu & Kashmir,2003,1949
Jharkhand,2003,3863
Karnataka,2003,14180
Kerala,2003,4523
Lakshadweep,2003,8
Madhya Pradesh,2003,20328
Maharashtra,2003,36892
Manipur,2003,252
Meghalaya,2003,322
Mizoram,2003,1303
Nagaland,2003,179
Odisha,2003,5243
Puducherry,2003,567
Punjab,2003,3198
Rajasthan,2003,14875
Sikkim,2003,65
Tamil Nadu,2003,18213
Tripura,2003,276
Uttar Pradesh,2003,12836
Uttarakhand,2003,1277
West Bengal,2003,12613
Andaman & Nicobar Islands,2004,103
Andhra Pradesh,2004,23162
Arunachal Pradesh,2004,388
Assam,2004,5866
Bihar,2004,11113
Chandigarh,2004,1459
Chhattisgarh,2004,5014
Dadra & Nagar Haveli,2004,53
Daman & Diu,2004,27
Delhi,2004,18994
Goa,2004,493
Gujarat,2004,18452
Haryana,2004,6558
Himachal Pradesh,2004,636
Jammu & Kashmir,2004,1939
Jharkhand,2004,4374
Karnataka,2004,16093
Kerala,2004,5010
Lakshadweep,2004,5
Madhya Pradesh,2004,22557
Maharashtra,2004,43629
Manipur,2004,244
Meghalaya,2004,393
Mizoram,2004,610
Nagaland,2004,172
Odisha,2004,5959
Puducherry,2004,634
Punjab,2004,2587
Rajasthan,2004,17096
Sikkim,2004,73
Tamil Nadu,2004,17530
Tripura,2004,260
Uttar Pradesh,2004,19106
Uttarakhand,2004,1500
West Bengal,2004,14465
Andaman & Nicobar Islands,2005,92
Andhra Pradesh,2005,23395
Arunachal Pradesh,2005,531
Assam,2005,6369
Bihar,2005,10812
Chandigarh,2005,1373
Chhattisgarh,2005,5600
Dadra & Nagar Haveli,2005,74
Daman & Diu,2005,50
Delhi,2005,17955
Goa,2005,490
Gujarat,2005,17834
Haryana,2005,8650
Himachal Pradesh,2005,689
Jammu & Kashmir,2005,1901
Jharkhand,2005,5610
Karnataka,2005,17008
Kerala,2005,5225
Lakshadweep,2005,7
Madhya Pradesh,2005,20660
Maharashtra,2005,46598
Manipur,2005,243
Meghalaya,2005,431
Mizoram,2005,777
Nagaland,2005,278
Odisha,2005,6743
Puducherry,2005,466
Punjab,2005,2924
Rajasthan,2005,13361
Sikkim,2005,77
Tamil Nadu,2005,15851
Tripura,2005,325
Uttar Pradesh,2005,17557
Uttarakhand,2005,1515
West Bengal,2005,12124
Andaman & Nicobar Islands,2006,101
Andhra Pradesh,2006,23211
Arunachal Pradesh,2006,451
Assam,2006,7820
Bihar,2006,11752
Chandigarh,2006,1234
Chhattisgarh,2006,5262
Dadra & Nagar Haveli,2006,61
Daman & Diu,2006,63
Delhi,2006,17498
Goa,2006,486
Gujarat,2006,18331
Haryana,2006,10513
Himachal Pradesh,2006,807
Jammu & Kashmir,2006,1937
Jharkhand,2006,6173
Karnataka,2006,14901
Kerala,2006,5043
Lakshadweep,2006,17
Madhya Pradesh,2006,21733
Maharashtra,2006,46250
Manipur,2006,290
Meghalaya,2006,470
Mizoram,2006,740
Nagaland,2006,324
Odisha,2006,6559
Puducherry,2006,560
Punjab,2006,3945
Rajasthan,2006,16460
Sikkim,2006,113
Tamil Nadu,2006,13651
Tripura,2006,392
Uttar Pradesh,2006,17665
Uttarakhand,2006,1369
West Bengal,2006,12532
Andaman & Nicobar Islands,2007,112
Andhra Pradesh,2007,23856
Arunachal Pradesh,2007,513
Assam,2007,7754
Bihar,2007,11795
Chandigarh,2007,1740
Chhattisgarh,2007,5381
Dadra & Nagar Haveli,2007,87
Daman & Diu,2007,43
Delhi,2007,17037
Goa,2007,484
Gujarat,2007,18047
Haryana,2007,11047
Himachal Pradesh,2007,1077
Jammu & Kashmir,2007,1756
Jharkhand,2007,7067
Karnataka,2007,14270
Kerala,2007,5317
Lakshadweep,2007,20
Madhya Pradesh,2007,22396
Maharashtra,2007,47498
Manipur,2007,454
Meghalaya,2007,500
Mizoram,2007,732
Nagaland,2007,358
Odisha,2007,6830
Puducherry,2007,787
Punjab,2007,5171
Rajasthan,2007,18008
Sikkim,2007,118
Tamil Nadu,2007,13217
Tripura,2007,411
Uttar Pradesh,2007,19325
Uttarakhand,2007,1500
West Bengal,2007,13747
Andaman & Nicobar Islands,2008,128
Andhra Pradesh,2008,24324
Arunachal Pradesh,2008,445
Assam,2008,8012
Bihar,2008,13206
Chandigarh,2008,1991
Chhattisgarh,2008,6079
Dadra & Nagar Haveli,2008,54
Daman & Diu,2008,49
Delhi,2008,18867
Goa,2008,595
Gujarat,2008,20557
Haryana,2008,12709
Himachal Pradesh,2008,1135
Jammu & Kashmir,2008,2073
Jharkhand,2008,7269
Karnataka,2008,17728
Kerala,2008,5327
Lakshadweep,2008,8
Madhya Pradesh,2008,24579
Maharashtra,2008,52664
Manipur,2008,446
Meghalaya,2008,658
Mizoram,2008,734
Nagaland,2008,329
Odisha,2008,7132
Puducherry,2008,688
Punjab,2008,5468
Rajasthan,2008,19014
Sikkim,2008,127
Tamil Nadu,2008,15019
Tripura,2008,499
Uttar Pradesh,2008,21370
Uttarakhand,2008,1532
West Bengal,2008,17334
Andaman & Nicobar Islands,2009,134
Andhra Pradesh,2009,23922
Arunachal Pradesh,2009,381
Assam,2009,7644
Bihar,2009,15221
Chandigarh,2009,1731
Chhattisgarh,2009,5792
Dadra & Nagar Haveli,2009,63
Daman & Diu,2009,41
Delhi,2009,21731
Goa,2009,840
Gujarat,2009,19574
Haryana,2009,12912
Himachal Pradesh,2009,820
Jammu & Kashmir,2009,2517
Jharkhand,2009,7716
Karnataka,2009,20576
Kerala,2009,5196
Lakshadweep,2009,10
Madhya Pradesh,2009,23260
Maharashtra,2009,50708
Manipur,2009,394
Meghalaya,2009,528
Mizoram,2009,761
Nagaland,2009,347
Odisha,2009,7115
Puducherry,2009,711
Punjab,2009,5513
Rajasthan,2009,11817
Sikkim,2009,62
Tamil Nadu,2009,15712
Tripura,2009,415
Uttar Pradesh,2009,24983
Uttarakhand,2009,1340
West Bengal,2009,17133
Andaman & Nicobar Islands,2010,121
Andhra Pradesh,2010,26358
Arunachal Pradesh,2010,445
Assam,2010,7860
Bihar,2010,15544
Chandigarh,2010,1481
Chhattisgarh,2010,5805
Dadra & Nagar Haveli,2010,63
Daman & Diu,2010,47
Delhi,2010,23088
Goa,2010,1017
Gujarat,2010,16725
Haryana,2010,16266
Himachal Pradesh,2010,837
Jammu & Kashmir,2010,2490
Jharkhand,2010,7090
Karnataka,2010,20093
Kerala,2010,4065
Lakshadweep,2010,4
Madhya Pradesh,2010,21523
Maharashtra,2010,52363
Manipur,2010,417
Meghalaya,2010,640
Mizoram,2010,813
Nagaland,2010,372
Odisha,2010,7572
Puducherry,2010,534
Punjab,2010,5407
Rajasthan,2010,20981
Sikkim,2010,53
Tamil Nadu,2010,14583
Tripura,2010,410
Uttar Pradesh,2010,27487
Uttarakhand,2010,1779
West Bengal,2010,19388
Andaman & Nicobar Islands,2001,143
Andhra Pradesh,2001,25070
Arunachal Pradesh,2001,858
Assam,2001,9778
Bihar,2001,18503
Chandigarh,2001,1948
Chhattisgarh,2001,9894
Dadra & Nagar Haveli,2001,106
Daman & Diu,2001,94
Delhi,2001,25170
Goa,2001,1004
Gujarat,2001,24410
Haryana,2001,10536
Himachal Pradesh,2001,1573
Jammu & Kashmir,2001,3531
Jharkhand,2001,5764
Karnataka,2001,21039
Kerala,2001,10442
Lakshadweep,2001,12
Madhya Pradesh,2001,37554
Maharashtra,2001,60173
Manipur,2001,455
Meghalaya,2001,713
Mizoram,2001,1516
Nagaland,2001,463
Odisha,2001,10167
Puducherry,2001,651
Punjab,2001,5950
Rajasthan,2001,25326
Sikkim,2001,129
Tamil Nadu,2001,24606
Tripura,2001,579
Uttar Pradesh,2001,36711
Uttarakhand,2001,2346
West Bengal,2001,18204
Andaman & Nicobar Islands,2002,110
Andhra Pradesh,2002,28340
Arunachal Pradesh,2002,819
Assam,2002,10269
Bihar,2002,19333
Chandigarh,2002,2055
Chhattisgarh,2002,8687
Dadra & Nagar Haveli,2002,132
Daman & Diu,2002,130
Delhi,2002,22681
Goa,2002,951
Gujarat,2002,24958
Haryana,2002,10266
Himachal Pradesh,2002,1350
Jammu & Kashmir,2002,3637
Jharkhand,2002,7668
Karnataka,2002,22219
Kerala,2002,11246
Lakshadweep,2002,21
Madhya Pradesh,2002,37451
Maharashtra,2002,57544
Manipur,2002,429
Meghalaya,2002,758
Mizoram,2002,1499
Nagaland,2002,529
Odisha,2002,9287
Puducherry,2002,675
Punjab,2002,6038
Rajasthan,2002,22730
Sikkim,2002,118
Tamil Nadu,2002,25825
Tripura,2002,619
Uttar Pradesh,2002,27826
Uttarakhand,2002,1939
West Bengal,2002,19012
Andaman & Nicobar Islands,2003,128
Andhra Pradesh,2003,33315
Arunachal Pradesh,2003,776
Assam,2003,10298
Bihar,2003,19211
Chandigarh,2003,1578
Chhattisgarh,2003,8592
Dadra & Nagar Haveli,2003,132
Daman & Diu,2003,107
Delhi,2003,20953
Goa,2003,847
Gujarat,2003,29407
Haryana,2003,10024
Himachal Pradesh,2003,1392
Jammu & Kashmir,2003,3768
Jharkhand,2003,7211
Karnataka,2003,22463
Kerala,2003,9843
Lakshadweep,2003,14
Madhya Pradesh,2003,35947
Maharashtra,2003,57118
Manipur,2003,423
Meghalaya,2003,728
Mizoram,2003,2063
Nagaland,2003,437
Odisha,2003,9462
Puducherry,2003,720
Punjab,2003,6806
Rajasthan,2003,23652
Sikkim,2003,127
Tamil Nadu,2003,24082
Tripura,2003,576
Uttar Pradesh,2003,18012
Uttarakhand,2003,1948
West Bengal,2003,15618
Andaman & Nicobar Islands,2004,175
Andhra Pradesh,2004,32463
Arunachal Pradesh,2004,730
Assam,2004,10575
Bihar,2004,21673
Chandigarh,2004,1775
