Area_Name,Year,Total_Cases_for_Trial,
Andhra Pradesh,2010,1685,
Arunachal Pradesh,2010,0,
Assam,2010,430,
Bihar,2010,4458,
Chandigarh,2010,11,
Chhattisgarh,2010,464,
Dadra & Nagar Haveli,2010,1,
Daman & Diu,2010,1,
Delhi,2010,996,
Goa,2010,8,
Gujarat,2010,518,
Haryana,2010,768,
Himachal Pradesh,2010,23,
Jammu & Kashmir,2010,64,
Jharkhand,2010,699,
Karnataka,2010,846,
Kerala,2010,177,
Lakshadweep,2010,0,
Madhya Pradesh,2010,2901,
Maharashtra,2010,3853,
Manipur,2010,0,
Meghalaya,2010,5,
Mizoram,2010,0,
Nagaland,2010,0,
Odisha,2010,1927,
Puducherry,2010,15,
Punjab,2010,389,
Rajasthan,2010,1910,
Sikkim,2010,0,
Tamil Nadu,2010,707,
Tripura,2010,104,
Uttar Pradesh,2010,8753,
Uttarakhand,2010,283,
West Bengal,2010,2332,
Andaman & Nicobar Islands,2001,98,
Andhra Pradesh,2001,7811,
Arunachal Pradesh,2001,182,
Assam,2001,1628,
Bihar,2001,1265,
Chandigarh,2001,72,
Chhattisgarh,2001,7353,
Dadra & Nagar Haveli,2001,18,
Daman & Diu,2001,0,
Delhi,2001,1294,
Goa,2001,84,
Gujarat,2001,5881,
Haryana,2001,2444,
Himachal Pradesh,2001,1301,
Jammu & Kashmir,2001,1718,
Jharkhand,2001,1373,
Karnataka,2001,4390,
Kerala,2001,6063,
Lakshadweep,2001,0,
Madhya Pradesh,2001,27553,
Maharashtra,2001,20571,
Manipur,2001,3,
Meghalaya,2001,102,
Mizoram,2001,112,
Nagaland,2001,14,
Odisha,2001,7775,
Puducherry,2001,65,
Punjab,2001,507,
Rajasthan,2001,10047,
Sikkim,2001,0,
Tamil Nadu,2001,4881,
Tripura,2001,174,
Uttar Pradesh,2001,8763,
Uttarakhand,2001,321,
West Bengal,2001,5373,
Andaman & Nicobar Islands,2002,110,
Andhra Pradesh,2002,7724,
Arunachal Pradesh,2002,200,
Assam,2002,1811,
Bihar,2002,1488,
Chandigarh,2002,77,
Chhattisgarh,2002,7999,
Dadra & Nagar Haveli,2002,17,
Daman & Diu,2002,0,
Delhi,2002,1356,
Goa,2002,57,
Gujarat,2002,5933,
Haryana,2002,2276,
Himachal Pradesh,2002,1282,
Jammu & Kashmir,2002,2106,
Jharkhand,2002,1538,
Karnataka,2002,4610,
Kerala,2002,6797,
Lakshadweep,2002,1,
Madhya Pradesh,2002,28398,
Maharashtra,2002,21094,
Manipur,2002,6,
Meghalaya,2002,106,
Mizoram,2002,55,
Nagaland,2002,15,
Odisha,2002,7938,
Puducherry,2002,99,
Punjab,2002,654,
Rajasthan,2002,10062,
Sikkim,2002,6,
Tamil Nadu,2002,4961,
Tripura,2002,256,
Uttar Pradesh,2002,8780,
Uttarakhand,2002,347,
West Bengal,2002,5929,
Andaman & Nicobar Islands,2003,112,
Andhra Pradesh,2003,8057,
Arunachal Pradesh,2003,212,
Assam,2003,1975,
Bihar,2003,1784,
Chandigarh,2003,66,
Chhattisgarh,2003,7306,
Dadra & Nagar Haveli,2003,17,
Daman & Diu,2003,2,
Delhi,2003,1670,
Goa,2003,53,
Gujarat,2003,6077,
Haryana,2003,2003,
Himachal Pradesh,2003,1347,
Jammu & Kashmir,2003,2604,
Jharkhand,2003,1401,
Karnataka,2003,4771,
Kerala,2003,7495,
Lakshadweep,2003,1,
Madhya Pradesh,2003,29232,
Maharashtra,2003,21331,
Manipur,2003,7,
Meghalaya,2003,113,
Mizoram,2003,164,
Nagaland,2003,16,
Odisha,2003,8741,
Puducherry,2003,124,
Punjab,2003,743,
Rajasthan,2003,10130,
Sikkim,2003,17,
Tamil Nadu,2003,5025,
Tripura,2003,292,
Uttar Pradesh,2003,7733,
Uttarakhand,2003,376,
West Bengal,2003,6031,
Andaman & Nicobar Islands,2004,111,
Andhra Pradesh,2004,8315,
Arunachal Pradesh,2004,252,
Assam,2004,2009,
Bihar,2004,2034,
Chandigarh,2004,70,
Chhattisgarh,2004,7689,
Dadra & Nagar Haveli,2004,22,
Daman & Diu,2004,3,
Delhi,2004,1869,
Goa,2004,56,
Gujarat,2004,6281,
Haryana,2004,1903,
Himachal Pradesh,2004,1382,
Jammu & Kashmir,2004,3117,
Jharkhand,2004,1304,
Karnataka,2004,4889,
Kerala,2004,8331,
Lakshadweep,2004,1,
Madhya Pradesh,2004,29749,
Maharashtra,2004,22043,
Manipur,2004,8,
Meghalaya,2004,113,
Mizoram,2004,170,
Nagaland,2004,20,
Odisha,2004,9342,
Puducherry,2004,135,
Punjab,2004,715,
Rajasthan,2004,10655,
Sikkim,2004,19,
Tamil Nadu,2004,5102,
Tripura,2004,355,
Uttar Pradesh,2004,7978,
Uttarakhand,2004,401,
West Bengal,2004,6794,
Andaman & Nicobar Islands,2005,108,
Andhra Pradesh,2005,8108,
Arunachal Pradesh,2005,295,
Assam,2005,2070,
Bihar,2005,2061,
Chandigarh,2005,79,
Chhattisgarh,2005,7510,
Dadra & Nagar Haveli,2005,22,
Daman & Diu,2005,4,
Delhi,2005,2181,
Goa,2005,58,
Gujarat,2005,6571,
Haryana,2005,1724,
Himachal Pradesh,2005,1303,
Jammu & Kashmir,2005,3281,
Jharkhand,2005,1079,
Karnataka,2005,4949,
Kerala,2005,8713,
Lakshadweep,2005,1,
Madhya Pradesh,2005,30115,
Maharashtra,2005,23252,
Manipur,2005,9,
Meghalaya,2005,124,
Mizoram,2005,119,
Nagaland,2005,7,
Odisha,2005,10100,
Puducherry,2005,147,
Punjab,2005,724,
Rajasthan,2005,10469,
Sikkim,2005,22,
Tamil Nadu,2005,4952,
Tripura,2005,410,
Uttar Pradesh,2005,7962,
Uttarakhand,2005,394,
West Bengal,2005,7843,
Andaman & Nicobar Islands,2006,119,
Andhra Pradesh,2006,8372,
Arunachal Pradesh,2006,288,
Assam,2006,2245,
Bihar,2006,2094,
Chandigarh,2006,86,
Chhattisgarh,2006,7459,
Dadra & Nagar Haveli,2006,20,
Daman & Diu,2006,5,
Delhi,2006,2701,
Goa,2006,71,
Gujarat,2006,6632,
Haryana,2006,1782,
Himachal Pradesh,2006,1221,
Jammu & Kashmir,2006,3622,
Jharkhand,2006,1261,
Karnataka,2006,5027,
Kerala,2006,9746,
Lakshadweep,2006,1,
Madhya Pradesh,2006,30328,
Maharashtra,2006,24468,
Manipur,2006,10,
Meghalaya,2006,151,
Mizoram,2006,155,
Nagaland,2006,8,
Odisha,2006,11281,
Puducherry,2006,156,
Punjab,2006,833,
Rajasthan,2006,10212,
Sikkim,2006,10,
Tamil Nadu,2006,4351,
Tripura,2006,458,
Uttar Pradesh,2006,8200,
Uttarakhand,2006,480,
West Bengal,2006,8602,
Andaman & Nicobar Islands,2007,135,
Andhra Pradesh,2007,9175,
Arunachal Pradesh,2007,310,
Assam,2007,2214,
Bihar,2007,2336,
Chandigarh,2007,87,
Chhattisgarh,2007,8088,
Dadra & Nagar Haveli,2007,18,
Daman & Diu,2007,5,
Delhi,2007,3249,
Goa,2007,66,
Gujarat,2007,7006,
Haryana,2007,1884,
Himachal Pradesh,2007,1300,
Jammu & Kashmir,2007,3929,
Jharkhand,2007,1272,
Karnataka,2007,5241,
Kerala,2007,10349,
Lakshadweep,2007,2,
Madhya Pradesh,2007,31626,
Maharashtra,2007,25679,
Manipur,2007,8,
Meghalaya,2007,160,
Mizoram,2007,77,
Nagaland,2007,9,
Odisha,2007,12699,
Puducherry,2007,218,
Punjab,2007,915,
Rajasthan,2007,9930,
Sikkim,2007,9,
Tamil Nadu,2007,4112,
Tripura,2007,609,
Uttar Pradesh,2007,8682,
Uttarakhand,2007,523,
West Bengal,2007,9098,
Andaman & Nicobar Islands,2008,153,
Andhra Pradesh,2008,8458,
Arunachal Pradesh,2008,353,
Assam,2008,2164,
Bihar,2008,2597,
Chandigarh,2008,91,
Chhattisgarh,2008,8698,
Dadra & Nagar Haveli,2008,16,
Daman & Diu,2008,5,
Delhi,2008,3707,
Goa,2008,82,
Gujarat,2008,7353,
Haryana,2008,1951,
Himachal Pradesh,2008,1308,
Jammu & Kashmir,2008,4228,
Jharkhand,2008,1155,
Karnataka,2008,5478,
Kerala,2008,10641,
Lakshadweep,2008,2,
Madhya Pradesh,2008,32145,
Maharashtra,2008,27204,
Manipur,2008,7,
Meghalaya,2008,173,
Mizoram,2008,89,
Nagaland,2008,14,
Odisha,2008,14169,
Puducherry,2008,237,
Punjab,2008,1039,
Rajasthan,2008,10045,
Sikkim,2008,16,
Tamil Nadu,2008,4230,
Tripura,2008,728,
Uttar Pradesh,2008,9413,
Uttarakhand,2008,482,
West Bengal,2008,9960,
Andaman & Nicobar Islands,2009,176,
Andhra Pradesh,2009,9212,
Arunachal Pradesh,2009,375,
Assam,2009,2366,
Bihar,2009,2622,
Chandigarh,2009,88,
Chhattisgarh,2009,8931,
Dadra & Nagar Haveli,2009,18,
Daman & Diu,2009,3,
Delhi,2009,3897,
Goa,2009,87,
Gujarat,2009,7451,
Haryana,2009,1992,
Himachal Pradesh,2009,1406,
Jammu & Kashmir,2009,4713,
Jharkhand,2009,1144,
Karnataka,2009,5840,
Kerala,2009,11122,
Lakshadweep,2009,2,
Madhya Pradesh,2009,31596,
Maharashtra,2009,28253,
Manipur,2009,9,
Meghalaya,2009,193,
Mizoram,2009,111,
Nagaland,2009,21,
Odisha,2009,15350,
Puducherry,2009,260,
Punjab,2009,1037,
Rajasthan,2009,10195,
Sikkim,2009,40,
Tamil Nadu,2009,4364,
Tripura,2009,978,
Uttar Pradesh,2009,9479,
Uttarakhand,2009,479,
West Bengal,2009,10988,
Andaman & Nicobar Islands,2010,194,
Andhra Pradesh,2010,9433,
Arunachal Pradesh,2010,401,
Assam,2010,2663,
Bihar,2010,2612,
Chandigarh,2010,95,
Chhattisgarh,2010,9417,
Dadra & Nagar Haveli,2010,23,
Daman & Diu,2010,6,
Delhi,2010,4056,
Goa,2010,107,
Gujarat,2010,7596,
Haryana,2010,2085,
Himachal Pradesh,2010,1557,
Jammu & Kashmir,2010,4963,
Jharkhand,2010,1083,
Karnataka,2010,6614,
Kerala,2010,12107,
Lakshadweep,2010,1,
Madhya Pradesh,2010,31262,
Maharashtra,2010,29413,
Manipur,2010,9,
Meghalaya,2010,210,
Mizoram,2010,129,
Nagaland,2010,24,
Odisha,2010,17186,
Puducherry,2010,275,
Punjab,2010,905,
Rajasthan,2010,10469,
Sikkim,2010,32,
Tamil Nadu,2010,4267,
Tripura,2010,1117,
Uttar Pradesh,2010,9718,
Uttarakhand,2010,477,
West Bengal,2010,12230,
Andaman & Nicobar Islands,2001,5,
Andhra Pradesh,2001,3272,
Arunachal Pradesh,2001,6,
Assam,2001,44,
Bihar,2001,98,
Chandigarh,2001,30,
Chhattisgarh,2001,966,
Dadra & Nagar Haveli,2001,1,
Daman & Diu,2001,0,
Delhi,2001,325,
Goa,2001,31,
Gujarat,2001,624,
Haryana,2001,976,
Himachal Pradesh,2001,92,
Jammu & Kashmir,2001,875,
Jharkhand,2001,60,
Karnataka,2001,193,
Kerala,2001,236,
Lakshadweep,2001,0,
Madhya Pradesh,2001,1832,
Maharashtra,2001,6235,
Manipur,2001,0,
Meghalaya,2001,3,
Mizoram,2001,0,
Nagaland,2001,0,
Odisha,2001,786,
Puducherry,2001,48,
Punjab,2001,50,
Rajasthan,2001,241,
Sikkim,2001,20,
Tamil Nadu,2001,1616,
Tripura,2001,0,
Uttar Pradesh,2001,6523,
Uttarakhand,2001,226,
West Bengal,2001,73,
Andaman & Nicobar Islands,2002,8,
Andhra Pradesh,2002,3697,
Arunachal Pradesh,2002,7,
Assam,2002,43,
Bihar,2002,82,
Chandigarh,2002,49,
Chhattisgarh,2002,927,
Dadra & Nagar Haveli,2002,1,
Daman & Diu,2002,1,
Delhi,2002,359,
Goa,2002,27,
Gujarat,2002,667,
Haryana,2002,1954,
Himachal Pradesh,2002,85,
Jammu & Kashmir,2002,967,
Jharkhand,2002,54,
Karnataka,2002,211,
Kerala,2002,274,
Lakshadweep,2002,0,
Madhya Pradesh,2002,2175,
Maharashtra,2002,6419,
Manipur,2002,0,
Meghalaya,2002,3,
Mizoram,2002,0,
Nagaland,2002,0,
Odisha,2002,775,
Puducherry,2002,46,
Punjab,2002,172,
Rajasthan,2002,219,
Sikkim,2002,19,
Tamil Nadu,2002,2187,
Tripura,2002,0,
Uttar Pradesh,2002,6276,
Uttarakhand,2002,252,
West Bengal,2002,73,
Andaman & Nicobar Islands,2003,10,
Andhra Pradesh,2003,3987,
Arunachal Pradesh,2003,7,
Assam,2003,41,
Bihar,2003,70,
Chandigarh,2003,34,
Chhattisgarh,2003,625,
Dadra & Nagar Haveli,2003,1,
Daman & Diu,2003,1,
Delhi,2003,416,
Goa,2003,25,
Gujarat,2003,688,
Haryana,2003,1905,
Himachal Pradesh,2003,93,
Jammu & Kashmir,2003,1025,
Jharkhand,2003,41,
Karnataka,2003,234,
Kerala,2003,284,
Lakshadweep,2003,0,
Madhya Pradesh,2003,2238,
Maharashtra,2003,6476,
Manipur,2003,0,
Meghalaya,2003,3,
Mizoram,2003,0,
Nagaland,2003,2,
Odisha,2003,877,
Puducherry,2003,51,
Punjab,2003,217,
Rajasthan,2003,169,
Sikkim,2003,5,
Tamil Nadu,2003,1432,
Tripura,2003,0,
Uttar Pradesh,2003,9014,
Uttarakhand,2003,282,
West Bengal,2003,75,
Andaman & Nicobar Islands,2004,12,
Andhra Pradesh,2004,3645,
Arunachal Pradesh,2004,7,
Assam,2004,31,
Bihar,2004,52,
Chandigarh,2004,41,
Chhattisgarh,2004,593,
Dadra & Nagar Haveli,2004,1,
Daman & Diu,2004,1,
Delhi,2004,473,
Goa,2004,27,
Gujarat,2004,785,
Haryana,2004,1494,
Himachal Pradesh,2004,95,
Jammu & Kashmir,2004,994,
Jharkhand,2004,27,
Karnataka,2004,244,
Kerala,2004,337,
Lakshadweep,2004,0,
Madhya Pradesh,2004,2295,
Maharashtra,2004,6555,
Manipur,2004,0,
Meghalaya,2004,3,
Mizoram,2004,0,
Nagaland,2004,0,
Odisha,2004,810,
Puducherry,2004,65,
Punjab,2004,170,
Rajasthan,2004,175,
Sikkim,2004,0,
Tamil Nadu,2004,1737,
Tripura,2004,0,
Uttar Pradesh,2004,8225,
Uttarakhand,2004,275,
West Bengal,2004,83,
Andaman & Nicobar Islands,2005,12,
Andhra Pradesh,2005,4295,
Arunachal Pradesh,2005,7,
Assam,2005,33,
Bihar,2005,49,
Chandigarh,2005,42,
Chhattisgarh,2005,456,
Dadra & Nagar Haveli,2005,1,
Daman & Diu,2005,1,
Delhi,2005,602,
Goa,2005,30,
Gujarat,2005,812,
Haryana,2005,1056,
Himachal Pradesh,2005,99,
Jammu & Kashmir,2005,1083,
Jharkhand,2005,35,
Karnataka,2005,158,
Kerala,2005,407,
Lakshadweep,2005,0,
Madhya Pradesh,2005,2340,
Maharashtra,2005,7059,
Manipur,2005,0,
Meghalaya,2005,3,
Mizoram,2005,1,
Nagaland,2005,0,
Odisha,2005,838,
Puducherry,2005,76,
Punjab,2005,101,
Rajasthan,2005,146,
Sikkim,2005,0,
Tamil Nadu,2005,1524,
Tripura,2005,1,
Uttar Pradesh,2005,8499,
Uttarakhand,2005,312,
West Bengal,2005,111,
Andaman & Nicobar Islands,2006,15,
Andhra Pradesh,2006,3992,
Arunachal Pradesh,2006,8,
Assam,2006,22,
Bihar,2006,77,
Chandigarh,2006,52,
Chhattisgarh,2006,466,
Dadra & Nagar Haveli,2006,2,
Daman & Diu,2006,1,
Delhi,2006,600,
Goa,2006,28,
Gujarat,2006,867,
Haryana,2006,1108,
Himachal Pradesh,2006,107,
Jammu & Kashmir,2006,1184,
Jharkhand,2006,29,
Karnataka,2006,127,
Kerala,2006,499,
Lakshadweep,2006,0,
Madhya Pradesh,2006,2421,
Maharashtra,2006,7468,
Manipur,2006,0,
Meghalaya,2006,3,
Mizoram,2006,3,
Nagaland,2006,1,
Odisha,2006,925,
Puducherry,2006,85,
Punjab,2006,122,
Rajasthan,2006,142,
Sikkim,2006,0,
Tamil Nadu,2006,1450,
Tripura,2006,0,
Uttar Pradesh,2006,8691,
Uttarakhand,2006,374,
West Bengal,2006,130,
Andaman & Nicobar Islands,2007,14,
Andhra Pradesh,2007,4950,
Arunachal Pradesh,2007,8,
Assam,2007,20,
Bihar,2007,59,
Chandigarh,2007,54,
Chhattisgarh,2007,475,
Dadra & Nagar Haveli,2007,2,
Daman & Diu,2007,1,
Delhi,2007,591,
Goa,2007,27,
Gujarat,2007,898,
Haryana,2007,1087,
Himachal Pradesh,2007,92,
Jammu & Kashmir,2007,1275,
Jharkhand,2007,14,
Karnataka,2007,121,
Kerala,2007,628,
Lakshadweep,2007,0,
Madhya Pradesh,2007,2438,
Maharashtra,2007,7931,
Manipur,2007,0,
Meghalaya,2007,3,
Mizoram,2007,0,
Nagaland,2007,1,
Odisha,2007,965,
Puducherry,2007,99,
Punjab,2007,90,
Rajasthan,2007,124,
Sikkim,2007,0,
Tamil Nadu,2007,1757,
Tripura,2007,4,
Uttar Pradesh,2007,9087,
Uttarakhand,2007,326,
West Bengal,2007,114,
Andaman & Nicobar Islands,2008,16,
Andhra Pradesh,2008,5292,
Arunachal Pradesh,2008,9,
Assam,2008,12,
Bihar,2008,59,
Chandigarh,2008,52,
Chhattisgarh,2008,509,
Dadra & Nagar Haveli,2008,2,
Daman & Diu,2008,1,
Delhi,2008,551,
Goa,2008,29,
Gujarat,2008,957,
Haryana,2008,1330,
Himachal Pradesh,2008,120,
Jammu & Kashmir,2008,1348,
Jharkhand,2008,22,
Karnataka,2008,101,
Kerala,2008,798,
Lakshadweep,2008,0,
Madhya Pradesh,2008,2448,
Maharashtra,2008,8435,
Manipur,2008,0,
Meghalaya,2008,3,
Mizoram,2008,0,
Nagaland,2008,1,
Odisha,2008,1144,
Puducherry,2008,94,
Punjab,2008,90,
Rajasthan,2008,113,
Sikkim,2008,0,
Tamil Nadu,2008,1806,
Tripura,2008,7,
Uttar Pradesh,2008,9831,
Uttarakhand,2008,543,
West Bengal,2008,119,
Andaman & Nicobar Islands,2009,20,
Andhra Pradesh,2009,6143,
Arunachal Pradesh,2009,11,
Assam,2009,15,
Bihar,2009,66,
Chandigarh,2009,46,
Chhattisgarh,2009,563,
Dadra & Nagar Haveli,2009,1,
Daman & Diu,2009,3,
Delhi,2009,557,
Goa,2009,32,
Gujarat,2009,992,
Haryana,2009,1421,
Himachal Pradesh,2009,139,
Jammu & Kashmir,2009,1530,
Jharkhand,2009,51,
Karnataka,2009,85,
Kerala,2009,1006,
Lakshadweep,2009,0,
Madhya Pradesh,2009,2461,
Maharashtra,2009,8719,
Manipur,2009,0,
Meghalaya,2009,5,
Mizoram,2009,1,
Nagaland,2009,0,
Odisha,2009,1209,
Puducherry,2009,94,
Punjab,2009,89,
Rajasthan,2009,107,
Sikkim,2009,0,
Tamil Nadu,2009,1543,
Tripura,2009,8,
Uttar Pradesh,2009,9207,
Uttarakhand,2009,728,
West Bengal,2009,144,
Andaman & Nicobar Islands,2010,27,
Andhra Pradesh,2010,6521,
Arunachal Pradesh,2010,11,
Assam,2010,15,
Bihar,2010,59,
Chandigarh,2010,34,
Chhattisgarh,2010,621,
Dadra & Nagar Haveli,2010,2,
Daman & Diu,2010,3,
Delhi,2010,570,
Goa,2010,39,
Gujarat,2010,1022,
Haryana,2010,1452,
Himachal Pradesh,2010,178,
Jammu & Kashmir,2010,1500,
Jharkhand,2010,34,
Karnataka,2010,78,
Kerala,2010,1307,
Lakshadweep,2010,0,
Madhya Pradesh,2010,2767,
Maharashtra,2010,9233,
Manipur,2010,0,
Meghalaya,2010,4,
Mizoram,2010,1,
Nagaland,2010,2,
Odisha,2010,1306,
Puducherry,2010,100,
Punjab,2010,77,
Rajasthan,2010,105,
Sikkim,2010,0,
Tamil Nadu,2010,1650,
Tripura,2010,9,
Uttar Pradesh,2010,6669,
Uttarakhand,2010,795,
West Bengal,2010,192,
Andaman & Nicobar Islands,2001,16,
Andhra Pradesh,2001,11423,
Arunachal Pradesh,2001,23,
Assam,2001,2225,
Bihar,2001,3390,
Chandigarh,2001,90,
Chhattisgarh,2001,2751,
Dadra & Nagar Haveli,2001,18,
Daman & Diu,2001,7,
Delhi,2001,458,
Goa,2001,54,
Gujarat,2001,17921,
Haryana,2001,3633,
Himachal Pradesh,2001,1163,
Jammu & Kashmir,2001,101,
Jharkhand,2001,1059,
Karnataka,2001,4938,
Kerala,2001,7788,
Lakshadweep,2001,0,
Madhya Pradesh,2001,10595,
Maharashtra,2001,45917,
Manipur,2001,0,
Meghalaya,2001,6,
Mizoram,2001,0,
Nagaland,2001,1,
Odisha,2001,3710,
Puducherry,2001,9,
Punjab,2001,1360,
Rajasthan,2001,13997,
Sikkim,2001,2,
Tamil Nadu,2001,1756,
Tripura,2001,312,
Uttar Pradesh,2001,14904,
Uttarakhand,2001,507,
West Bengal,2001,23046,
Andaman & Nicobar Islands,2002,13,
Andhra Pradesh,2002,12148,
Arunachal Pradesh,2002,34,
Assam,2002,2933,
Bihar,2002,3955,
Chandigarh,2002,108,
Chhattisgarh,2002,3147,
Dadra & Nagar Haveli,2002,23,
Daman & Diu,2002,8,
Delhi,2002,425,
Goa,2002,37,
Gujarat,2002,19360,
Haryana,2002,3914,
Himachal Pradesh,2002,1197,
Jammu & Kashmir,2002,118,
Jharkhand,2002,2254,
Karnataka,2002,5294,
Kerala,2002,8983,
Lakshadweep,2002,0,
Madhya Pradesh,2002,11935,
Maharashtra,2002,45428,
Manipur,2002,0,
Meghalaya,2002,6,
Mizoram,2002,2,
Nagaland,2002,1,
Odisha,2002,4096,
Puducherry,2002,11,
Punjab,2002,1740,
Rajasthan,2002,14876,
Sikkim,2002,3,
Tamil Nadu,2002,2156,
Tripura,2002,461,
Uttar Pradesh,2002,15880,
Uttarakhand,2002,536,
West Bengal,2002,25786,
Andaman & Nicobar Islands,2003,13,
Andhra Pradesh,2003,14036,
Arunachal Pradesh,2003,44,
Assam,2003,3417,
Bihar,2003,4616,
Chandigarh,2003,142,
Chhattisgarh,2003,3318,
Dadra & Nagar Haveli,2003,20,
Daman & Diu,2003,8,
Delhi,2003,681,
Goa,2003,44,
Gujarat,2003,21043,
Haryana,2003,4107,
Himachal Pradesh,2003,1218,
Jammu & Kashmir,2003,137,
Jharkhand,2003,2338,
Karnataka,2003,5601,
Kerala,2003,10021,
Lakshadweep,2003,0,
Madhya Pradesh,2003,12952,
Maharashtra,2003,44851,
Manipur,2003,1,
Meghalaya,2003,7,
Mizoram,2003,5,
Nagaland,2003,1,
Odisha,2003,4779,
Puducherry,2003,13,
Punjab,2003,2150,
Rajasthan,2003,15011,
Sikkim,2003,4,
Tamil Nadu,2003,2968,
Tripura,2003,568,
Uttar Pradesh,2003,13647,
Uttarakhand,2003,655,
West Bengal,2003,27898,
Andaman & Nicobar Islands,2004,14,
Andhra Pradesh,2004,14986,
Arunachal Pradesh,2004,47,
Assam,2004,3823,
Bihar,2004,4883,
Chandigarh,2004,189,
Chhattisgarh,2004,3574,
Dadra & Nagar Haveli,2004,23,
Daman & Diu,2004,9,
Delhi,2004,1226,
Goa,2004,53,
Gujarat,2004,23243,
Haryana,2004,4469,
Himachal Pradesh,2004,1242,
Jammu & Kashmir,2004,149,
Jharkhand,2004,2441,
Karnataka,2004,5666,
Kerala,2004,11285,
Lakshadweep,2004,1,
Madhya Pradesh,2004,13938,
Maharashtra,2004,45609,
Manipur,2004,3,
Meghalaya,2004,8,
Mizoram,2004,4,
Nagaland,2004,2,
Odisha,2004,5347,
Puducherry,2004,14,
Punjab,2004,2367,
Rajasthan,2004,16512,
Sikkim,2004,3,
Tamil Nadu,2004,3685,
Tripura,2004,715,
Uttar Pradesh,2004,14363,
Uttarakhand,2004,850,
West Bengal,2004,31719,
Andaman & Nicobar Islands,2005,12,
Andhra Pradesh,2005,17105,
Arunachal Pradesh,2005,54,
Assam,2005,4270,
Bihar,2005,5237,
Chandigarh,2005,245,
Chhattisgarh,2005,3706,
Dadra & Nagar Haveli,2005,23,
Daman & Diu,2005,10,
Delhi,2005,1337,
Goa,2005,56,
Gujarat,2005,25405,
Haryana,2005,4752,
Himachal Pradesh,2005,1228,
Jammu & Kashmir,2005,180,
Jharkhand,2005,2486,
Karnataka,2005,5780,
Kerala,2005,12192,
Lakshadweep,2005,2,
Madhya Pradesh,2005,14007,
Maharashtra,2005,46764,
Manipur,2005,4,
Meghalaya,2005,9,
Mizoram,2005,3,
Nagaland,2005,0,
Odisha,2005,5932,
Puducherry,2005,10,
Punjab,2005,2458,
Rajasthan,2005,17363,
Sikkim,2005,1,
Tamil Nadu,2005,4094,
Tripura,2005,964,
Uttar Pradesh,2005,14572,
Uttarakhand,2005,910,
West Bengal,2005,37354,
Andaman & Nicobar Islands,2006,20,
Andhra Pradesh,2006,17912,
Arunachal Pradesh,2006,59,
Assam,2006,4511,
Bihar,2006,5576,
Chandigarh,2006,275,
Chhattisgarh,2006,3875,
Dadra & Nagar Haveli,2006,22,
Daman & Diu,2006,12,
Delhi,2006,1668,
Goa,2006,61,
Gujarat,2006,28030,
Haryana,2006,5261,
Himachal Pradesh,2006,1162,
Jammu & Kashmir,2006,242,
Jharkhand,2006,1797,
Karnataka,2006,5970,
Kerala,2006,13353,
Lakshadweep,2006,1,
Madhya Pradesh,2006,14058,
Maharashtra,2006,48164,
Manipur,2006,4,
Meghalaya,2006,12,
Mizoram,2006,1,
Nagaland,2006,2,
Odisha,2006,6371,
Puducherry,2006,20,
Punjab,2006,2707,
Rajasthan,2006,18848,
Sikkim,2006,3,
Tamil Nadu,2006,3939,
Tripura,2006,1176,
Uttar Pradesh,2006,15263,
Uttarakhand,2006,1028,
West Bengal,2006,41968,
Andaman & Nicobar Islands,2007,30,
Andhra Pradesh,2007,21895,
Arunachal Pradesh,2007,68,
Assam,2007,4860,
Bihar,2007,5808,
Chandigarh,2007,310,
Chhattisgarh,2007,4198,
Dadra & Nagar Haveli,2007,22,
Daman & Diu,2007,14,
Delhi,2007,1853,
Goa,2007,65,
Gujarat,2007,31694,
Haryana,2007,6027,
Himachal Pradesh,2007,1245,
Jammu & Kashmir,2007,306,
Jharkhand,2007,1510,
Karnataka,2007,5956,
Kerala,2007,14693,
Lakshadweep,2007,1,
Madhya Pradesh,2007,14635,
Maharashtra,2007,50689,
Manipur,2007,4,
Meghalaya,2007,17,
Mizoram,2007,2,
Nagaland,2007,2,
Odisha,2007,6393,
Puducherry,2007,35,
Punjab,2007,2994,
Rajasthan,2007,20157,
Sikkim,2007,2,
Tamil Nadu,2007,4443,
Tripura,2007,1491,
Uttar Pradesh,2007,17050,
Uttarakhand,2007,1149,
West Bengal,2007,47982,
Andaman & Nicobar Islands,2008,47,
Andhra Pradesh,2008,23570,
Arunachal Pradesh,2008,75,
Assam,2008,5637,
Bihar,2008,6202,
Chandigarh,2008,316,
Chhattisgarh,2008,4556,
Dadra & Nagar Haveli,2008,25,
Daman & Diu,2008,18,
Delhi,2008,2217,
Goa,2008,63,
Gujarat,2008,35363,
Haryana,2008,6810,
Himachal Pradesh,2008,1305,
Jammu & Kashmir,2008,375,
Jharkhand,2008,1711,
Karnataka,2008,6674,
Kerala,2008,15728,
Lakshadweep,2008,1,
Madhya Pradesh,2008,14606,
Maharashtra,2008,53829,
Manipur,2008,4,
Meghalaya,2008,21,
Mizoram,2008,7,
Nagaland,2008,5,
Odisha,2008,6758,
Puducherry,2008,36,
Punjab,2008,3391,
Rajasthan,2008,21773,
Sikkim,2008,8,
Tamil Nadu,2008,4941,
Tripura,2008,1731,
Uttar Pradesh,2008,18821,
Uttarakhand,2008,1079,
West Bengal,2008,55713,
Andaman & Nicobar Islands,2009,61,
